sequence_id,ga_session_id,user_id,machine,page_location,start_date,end_date,steps,list_sequence,
0,1694601305,eurkia,LG400A-100648 (RECC06) TX,http://dm2.danobatgroup.com/,2023-09-13 10:35:16.045493+00:00,2023-09-13 10:44:19.288386+00:00,8,"['selectMachine_lg400a-100648_(recc06)_tx_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'selectSignals_wheelhead1power_change']",
1,1695326581,dbarrenetxea,LG1000 - 100672 IDK,http://dm2.danobatgroup.com/,2023-09-21 20:03:35.647486+00:00,2023-09-21 20:10:02.672858+00:00,35,"['selectMachine_lg1000_-_100672_idk_click', 'manualSelectionModal_click', 'updateFilesList_click', 'closeSelectFilesModal_click', 'manualSelectionModal_click', 'updateFilesList_click', 'closeSelectFilesModal_click', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change', 'selectSignals_x1axisforce_change', 'selectSignals_z1axisforce_change', 'selectSignals_caxisspeed_actual_change', 'manualSelectionModal_click', 'confirmFiles_click', 'deleteChart_click', 'distributionOneChart_click', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change', 'selectSignals_x1axisforce_change', 'selectSignals_z1axisforce_change', 'selectSignals_caxisspeed_actual_change', 'selectSignals_wheelhead2power_change', 'manualSelectionModal_click', 'confirmFiles_click', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change', 'selectSignals_x1axisforce_change', 'selectSignals_z1axisforce_change', 'selectSignals_caxisspeed_actual_change', 'logout_click']",
3,1695627252,ggutierrezeizaguirre,LG600B6-100636-IDK,http://idz-dev-docker.ideko.es/,2023-09-25 08:01:13.710869+00:00,2023-09-25 08:07:32.034403+00:00,28,"['selectMachine_lg600b6-100636-idk_click', 'manualSelectionModal_click', 'updateFilesList_click', 'updateFilesList_click', 'confirmFiles_click', 'manualSelectionModal_click', 'confirmFiles_click', 'deleteChart_click', 'deleteChart_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'distributionOneChart_click', 'deleteChart_click', 'addChart_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'distributionOneChart_click', 'editIndicatorParametersModalChart_0', 'confirmParameters_click']",
5,1695633755,ggutierrezeizaguirre,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-09-25 09:22:47.072592+00:00,2023-09-25 10:26:11.233479+00:00,46,"['selectMachine_lg600b6-100636-idk_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'deleteChart_click', 'deleteChart_click', 'distributionOneChart_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'editIndicatorParametersModalChart_0', 'confirmParameters_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'editIndicatorParametersModalChart_0', 'confirmParameters_click', 'editIndicatorParametersModalChart_0', 'confirmParameters_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'selectAction_delete_all_charts_change', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'manualSelectionModal_click', 'confirmFiles_click', 'editIndicatorParametersModalChart_0', 'closeParametersModal_click', 'manualSelectionModal_click', 'confirmFiles_click']",
6,1695633755,ggutierrezeizaguirre,LG600B6-100636-IDK,http://idz-dev-docker.ideko.es/,2023-09-25 09:47:56.181345+00:00,2023-09-25 10:26:21.228715+00:00,36,"['selectMachine_lg600b6-100636-idk_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'deleteChart_click', 'deleteChart_click', 'distributionOneChart_click', 'manualSelectionModal_click', 'updateFilesList_click', 'updateFilesList_click', 'confirmFiles_click', 'manualSelectionModal_click', 'updateFilesList_click', 'updateFilesList_click', 'confirmFiles_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'selectIndicators_grinding_power-stats_change', 'closeParametersModal_click', 'editIndicatorParametersModalChart_0', 'confirmParameters_click', 'manualSelectionModal_click', 'confirmFiles_click']",
7,1695634080,ubueno,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-09-25 09:28:06.763921+00:00,2023-09-25 09:36:24.990967+00:00,9,"['selectMachine_lg600b6-100636-idk_click', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change', 'dataSchema_tdomonwh2x1z1_change', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change', 'selectSignals_x1axisposition_actual_change']",
9,1695710071,ubueno,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-09-26 06:34:56.661154+00:00,2023-09-26 07:31:22.745870+00:00,16,"['selectMachine_lg600b6-100636-idk_click', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change']",
10,1695712661,dbarrenetxea,110000556 DEC,http://dm2.ideko.es/,2023-09-26 07:17:49.033998+00:00,2023-09-26 08:08:35.889521+00:00,26,"['selectMachine_110000556_dec_click', 'manualSelectionModal_click', 'closeSelectFilesModal_click', 'distributionOneChart_click', 'selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change', 'selectTransformations_grinding_center_change', 'logout_click', 'selectMachine_110000556_dec_click', 'distributionOneChart_click', 'deleteChart_click', 'selectAction_clonar_gr�fico_change', 'selectIndicators_grinding_specific-energy_change', 'confirmParameters_click', 'selectIndicators_grinding_specific-energy_change', 'selectIndicators_grinding_specific-energy_change', 'confirmParameters_click']",
11,1695712661,dbarrenetxea,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-09-26 08:08:45.328868+00:00,2023-09-26 08:34:29.857309+00:00,58,"['selectMachine_lg600b6-100636-idk_click', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'selectTransformations_common_moving-average_change', 'confirmParameters_click', 'deleteChart_click', 'selectTransformations_grinding_center_change', 'selectTransformations_common_moving-average_change', 'confirmParameters_click', 'dataSchema_tdomonwh2x1z1_change', 'manualSelectionModal_click', 'updateFilesList_click', 'updateFilesList_click', 'confirmFiles_click', 'dataSchema_tdomonwh2x1_change', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'selectTransformations_grinding_center_change', 'deleteChart_click', 'deleteChart_click', 'addChart_click', 'selectSignals_wheelhead2power_change', 'selectIndicators_grinding_power-stats_change', 'Radiobutton_fluid_oil_change', 'Radiobutton_fluid_water-based_change', 'confirmParameters_click', 'addChart_click', 'selectIndicators_grinding_specific-energy_change', 'Radiobutton_fluid_oil_change', 'Radiobutton_fluid_water-based_change', 'confirmParameters_click', 'manualSelectionModal_click', 'confirmFiles_click', 'logout_click']",
12,1695712927,ggutierrezeizaguirre,110000556 DEC,http://dm2.ideko.es/,2023-09-26 07:26:31.275370+00:00,2023-09-26 07:26:42.082096+00:00,4,"['selectMachine_110000556_dec_click', 'selectSignals_wheelhead2power_change', 'manualSelectionModal_click', 'closeSelectFilesModal_click']",
